Date, Revenue , Transactions 
9/19/2017," 11,108.69 ", 64.00 
9/20/2017," 11,016.85 ", 73.00 
9/21/2017," 10,364.44 ", 73.00 
9/22/2017," 21,475.24 ", 99.00 
9/23/2017," 9,628.05 ", 43.00 
9/24/2017," 10,265.82 ", 45.00 
9/25/2017," 20,689.50 ", 82.00 
9/26/2017," 20,257.98 ", 112.00 
9/27/2017," 27,133.53 ", 109.00 
9/28/2017," 15,708.00 ", 90.00 
9/29/2017," 11,264.89 ", 74.00 
9/30/2017," 9,198.51 ", 51.00 
10/1/2017," 11,096.43 ", 56.00 
10/2/2017," 15,297.23 ", 84.00 
10/3/2017," 19,712.15 ", 105.00 
10/4/2017," 20,328.26 ", 97.00 
10/5/2017," 9,932.69 ", 65.00 
10/6/2017," 13,148.89 ", 76.00 
10/7/2017," 8,148.54 ", 40.00 
10/8/2017," 10,073.80 ", 54.00 
10/9/2017," 18,057.01 ", 89.00 
10/10/2017," 18,762.08 ", 100.00 
10/11/2017," 20,207.22 ", 103.00 
10/12/2017," 23,467.00 ", 100.00 
10/13/2017," 14,154.26 ", 77.00 
10/14/2017," 8,201.37 ", 40.00 
10/15/2017," 10,458.93 ", 44.00 
10/16/2017," 17,325.45 ", 82.00 
10/17/2017," 17,100.43 ", 83.00 
10/18/2017," 11,843.30 ", 66.00 
10/19/2017," 15,947.31 ", 78.00 
10/20/2017," 14,243.85 ", 70.00 
10/21/2017," 9,687.83 ", 36.00 
10/22/2017," 10,880.33 ", 47.00 
10/23/2017," 18,116.64 ", 101.00 
10/24/2017," 17,685.42 ", 82.00 
10/25/2017," 11,235.73 ", 68.00 
10/26/2017," 13,472.07 ", 94.00 
10/27/2017," 12,634.88 ", 64.00 
10/28/2017," 11,594.39 ", 64.00 
10/29/2017," 9,332.89 ", 47.00 
10/30/2017," 19,665.27 ", 88.00 
10/31/2017," 12,998.64 ", 67.00 
11/1/2017," 21,291.66 ", 91.00 
11/2/2017," 15,638.24 ", 75.00 
11/3/2017," 14,723.94 ", 69.00 
11/4/2017," 9,038.12 ", 48.00 
11/5/2017," 10,339.54 ", 54.00 
11/6/2017," 17,834.09 ", 72.00 
11/7/2017," 20,467.68 ", 88.00 
11/8/2017," 20,213.79 ", 89.00 
11/9/2017," 13,388.75 ", 69.00 
11/10/2017," 16,248.87 ", 64.00 
11/11/2017," 9,433.22 ", 48.00 
11/12/2017," 10,950.01 ", 43.00 
11/13/2017," 21,899.62 ", 86.00 
11/14/2017," 24,075.14 ", 86.00 
11/15/2017," 16,769.52 ", 74.00 
11/16/2017," 17,119.01 ", 88.00 
11/17/2017," 14,833.54 ", 86.00 
11/18/2017," 12,378.63 ", 54.00 
11/19/2017," 9,855.73 ", 40.00 
11/20/2017," 20,834.80 ", 100.00 
11/21/2017," 21,234.96 ", 88.00 
11/22/2017," 29,403.75 ", 114.00 
11/23/2017," 18,326.62 ", 74.00 
11/24/2017," 26,122.69 ", 121.00 
11/25/2017," 16,368.25 ", 66.00 
11/26/2017," 16,163.49 ", 76.00 
11/27/2017," 54,452.17 ", 215.00 
11/28/2017," 21,775.88 ", 94.00 
11/29/2017," 23,092.05 ", 95.00 
11/30/2017," 14,548.21 ", 78.00 
12/1/2017," 14,039.96 ", 88.00 
12/2/2017," 9,464.13 ", 52.00 
12/3/2017," 13,127.93 ", 67.00 
12/4/2017," 24,318.87 ", 121.00 
12/5/2017," 24,995.09 ", 142.00 
12/6/2017," 29,480.19 ", 121.00 
12/7/2017," 19,725.96 ", 115.00 
12/8/2017," 22,740.36 ", 116.00 
12/9/2017," 12,304.07 ", 66.00 
12/10/2017," 15,457.98 ", 86.00 
12/11/2017," 32,860.81 ", 143.00 
12/12/2017," 19,677.46 ", 113.00 
12/13/2017," 22,574.79 ", 125.00 
12/14/2017," 23,882.56 ", 125.00 
12/15/2017," 31,517.93 ", 121.00 
12/16/2017," 17,765.73 ", 95.00 
12/17/2017," 12,927.85 ", 78.00 
12/18/2017," 31,341.87 ", 171.00 
12/19/2017," 23,213.89 ", 139.00 
12/20/2017," 22,419.09 ", 111.00 
12/21/2017," 18,958.95 ", 109.00 
12/22/2017," 17,094.54 ", 91.00 
12/23/2017," 7,549.03 ", 34.00 
12/24/2017," 5,871.89 ", 24.00 
12/25/2017," 10,901.12 ", 56.00 
12/26/2017," 10,977.33 ", 60.00 
12/27/2017," 14,680.46 ", 74.00 
12/28/2017," 13,166.05 ", 59.00 
12/29/2017," 11,902.73 ", 66.00 
12/30/2017," 8,450.61 ", 47.00 
12/31/2017," 10,640.17 ", 47.00 
1/1/2018," 9,296.85 ", 46.00 
1/2/2018," 22,393.69 ", 111.00 
1/3/2018," 17,777.94 ", 89.00 
1/4/2018," 16,507.75 ", 87.00 
1/5/2018," 17,198.37 ", 86.00 
1/6/2018," 9,196.71 ", 36.00 
1/7/2018," 8,086.62 ", 48.00 
1/8/2018," 20,878.87 ", 103.00 
1/9/2018," 16,620.48 ", 84.00 
1/10/2018," 14,783.62 ", 74.00 
1/11/2018," 13,864.93 ", 59.00 
1/12/2018," 15,109.35 ", 78.00 
1/13/2018," 6,191.77 ", 35.00 
1/14/2018," 9,658.83 ", 44.00 
1/15/2018," 11,794.98 ", 63.00 
1/16/2018," 17,611.81 ", 85.00 
1/17/2018," 14,963.06 ", 70.00 
1/18/2018," 9,315.71 ", 52.00 
1/19/2018," 9,976.23 ", 66.00 
1/20/2018," 8,242.15 ", 42.00 
1/21/2018," 17,021.77 ", 76.00 
1/22/2018," 20,359.71 ", 87.00 
1/23/2018," 15,201.24 ", 62.00 
1/24/2018," 16,344.40 ", 83.00 
1/25/2018," 15,210.27 ", 92.00 
1/26/2018," 11,395.24 ", 67.00 
1/27/2018," 10,859.78 ", 49.00 
1/28/2018," 8,807.97 ", 48.00 
1/29/2018," 16,167.30 ", 98.00 
1/30/2018," 19,485.59 ", 87.00 
1/31/2018," 12,503.06 ", 71.00 
2/1/2018," 15,912.75 ", 83.00 
2/2/2018," 14,749.75 ", 73.00 
2/3/2018," 7,759.14 ", 39.00 
2/4/2018," 9,875.12 ", 53.00 
2/5/2018," 16,446.26 ", 82.00 
2/6/2018," 13,876.53 ", 73.00 
2/7/2018," 12,574.24 ", 71.00 
2/8/2018," 15,010.37 ", 81.00 
2/9/2018," 14,143.60 ", 68.00 
2/10/2018," 6,062.84 ", 30.00 
2/11/2018," 5,321.33 ", 40.00 
2/12/2018," 16,986.34 ", 81.00 
2/13/2018," 14,760.09 ", 69.00 
2/14/2018," 9,580.47 ", 51.00 
2/15/2018," 9,054.30 ", 51.00 
2/16/2018," 12,926.89 ", 63.00 
2/17/2018," 6,880.20 ", 36.00 
2/18/2018," 7,345.83 ", 33.00 
2/19/2018," 11,692.45 ", 59.00 
2/20/2018," 15,768.10 ", 75.00 
2/21/2018," 15,460.36 ", 78.00 
2/22/2018," 16,879.51 ", 75.00 
2/23/2018," 11,100.45 ", 71.00 
2/24/2018," 6,263.80 ", 30.00 
2/25/2018," 8,915.63 ", 49.00 
2/26/2018," 11,881.57 ", 70.00 
2/27/2018," 17,963.26 ", 74.00 
2/28/2018," 13,725.32 ", 62.00 
3/1/2018," 10,506.77 ", 55.00 
3/2/2018," 13,356.74 ", 66.00 
3/3/2018," 4,712.75 ", 32.00 
3/4/2018," 11,779.07 ", 48.00 
3/5/2018," 13,797.84 ", 78.00 
3/6/2018," 11,279.71 ", 69.00 
3/7/2018," 15,204.37 ", 72.00 
3/8/2018," 11,976.52 ", 56.00 
3/9/2018," 10,902.26 ", 57.00 
3/10/2018," 6,692.64 ", 29.00 
3/11/2018," 5,810.86 ", 33.00 
3/12/2018," 15,340.56 ", 85.00 
3/13/2018," 14,663.69 ", 85.00 
3/14/2018," 25,190.69 ", 95.00 
3/15/2018," 27,377.73 ", 105.00 
3/16/2018," 20,720.33 ", 84.00 
3/17/2018," 14,587.63 ", 57.00 
3/18/2018," 11,519.41 ", 39.00 
3/19/2018," 24,240.00 ", 97.00 
3/20/2018," 17,271.62 ", 73.00 
3/21/2018," 15,199.16 ", 109.00 
3/22/2018," 19,977.12 ", 105.00 
3/23/2018," 11,778.67 ", 66.00 
3/24/2018," 14,389.87 ", 53.00 
3/25/2018," 10,161.09 ", 48.00 
3/26/2018," 33,500.93 ", 151.00 
3/27/2018," 43,726.98 ", 303.00 
3/28/2018," 37,112.64 ", 221.00 
3/29/2018," 25,724.69 ", 101.00 
3/30/2018," 22,663.56 ", 95.00 
3/31/2018," 13,642.28 ", 46.00 
4/1/2018," 19,152.08 ", 70.00 
4/2/2018," 33,575.79 ", 127.00 
4/3/2018," 23,049.81 ", 95.00 
4/4/2018," 30,797.26 ", 110.00 
4/5/2018," 24,538.75 ", 103.00 
4/6/2018," 24,843.38 ", 102.00 
4/7/2018," 13,988.72 ", 47.00 
4/8/2018," 18,184.70 ", 65.00 
4/9/2018," 29,115.03 ", 122.00 
4/10/2018," 24,957.37 ", 105.00 
4/11/2018," 29,366.39 ", 102.00 
4/12/2018," 18,387.10 ", 85.00 
4/13/2018," 20,792.01 ", 78.00 
4/14/2018," 8,080.53 ", 35.00 
4/15/2018," 15,577.89 ", 59.00 
4/16/2018," 19,170.73 ", 88.00 
4/17/2018," 17,278.43 ", 79.00 
4/18/2018," 16,104.67 ", 76.00 
4/19/2018," 18,397.27 ", 75.00 
4/20/2018," 25,497.25 ", 83.00 
4/21/2018," 10,771.62 ", 51.00 
4/22/2018," 18,590.45 ", 66.00 
4/23/2018," 24,217.22 ", 116.00 
4/24/2018," 19,940.32 ", 82.00 
4/25/2018," 18,850.48 ", 83.00 
4/26/2018," 19,460.05 ", 80.00 
4/27/2018," 13,935.05 ", 71.00 
4/28/2018," 8,589.04 ", 39.00 
4/29/2018," 18,195.91 ", 64.00 
4/30/2018," 26,656.56 ", 110.00 
5/1/2018," 19,138.67 ", 81.00 
5/2/2018," 21,322.34 ", 86.00 
